dem_req_rate,req_rate_js-node.herokuapp.com,con_rate_js-node.herokuapp.com,min_rep_rate_js-node.herokuapp.com,avg_rep_rate_js-node.herokuapp.com,max_rep_rate_js-node.herokuapp.com,stddev_rep_rate_js-node.herokuapp.com,resp_time_js-node.herokuapp.com,net_io_js-node.herokuapp.com,errors_js-node.herokuapp.com
5000,4854.4,194.2,1823.5,4900.9,6559.9,996.1,80.4,1042.9,0.0333333333333333
7500,7068.3,282.9,2602,7134.2,8945.7,1446.7,88.9,1518.5,0.111111111111111
10000,7449.3,298.5,0,7484.2,10497.1,2484.4,221.4,1600.3,0.3
12500,,,,,,,,,101
15000,7040.6,290.4,0,6741.98322923273,22793.6202708914,4965.9,508.0,1517.5,6.9
17500,,,,,,,,,101
20000,8606.8,376.5,0,5721.86011063239,17310.9415246113,7912.3,451.7,1792.6,17.0291666666667
22500,,,,,,,,,101
25000,,,,,,,,,101
27500,,,,,,,,,101
30000,,,,,,,,,101
32500,,,,,,,,,101
35000,,,,,,,,,101
37500,,,,,,,,,101
40000,,,,,,,,,101
42500,,,,,,,,,101
45000,,,,,,,,,101
47500,,,,,,,,,101
50000,,,,,,,,,101
52500,,,,,,,,,101
55000,,,,,,,,,101
57500,,,,,,,,,101
60000,,,,,,,,,101
