dem_req_rate,req_rate_ruby-sinatr.herokuapp.com,con_rate_ruby-sinatr.herokuapp.com,min_rep_rate_ruby-sinatr.herokuapp.com,avg_rep_rate_ruby-sinatr.herokuapp.com,max_rep_rate_ruby-sinatr.herokuapp.com,stddev_rep_rate_ruby-sinatr.herokuapp.com,resp_time_ruby-sinatr.herokuapp.com,net_io_ruby-sinatr.herokuapp.com,errors_ruby-sinatr.herokuapp.com
500,496.5,19.9,373.5,497.6,586,35.9,11.9,146.9,0
750,744.9,29.8,512,746.7,1024.1,59.5,11.5,220.4,0
1000,995.0,39.8,490,996.2,1314.1,145.5,12.6,294.4,0
1250,1239.8,49.6,960.8,1243.7,1634.1,117.1,11.0,366.8,0
1500,1465.2,58.6,594,1474.9,1722.1,197.7,17.9,433.6,0
1750,1462.6,58.5,0,1478.8,2078.1,606.7,23.5,432.8,0
2000,1589.9,63.6,0,1423.53429071512,3131.09896482747,906.5,245.6,565.1,0.0416666666666667
2250,1798.8,72.0,11.8712888888889,1780.69333333333,2257.62236444444,463.1,198.3,542.7,0
2500,1990.7,79.7,26.6222328970017,1773.30693326928,2942.99910598722,676.8,230.4,710.5,0.1
2750,2059.5,82.7,72.7434481080423,1570.95538143326,3132.74205742791,961.6,263.8,879.6,0.787878787878788
3000,2383.7,95.8,0,1658.68389722632,2876.35775604091,1018.5,252.6,1099.7,0.916666666666667
3250,2371.8,95.6,0,1623.43128972581,3012.70925824488,1153.0,234.0,1112.6,1.33333333333333
3500,2750.4,111.0,1.152860178659,1596.71134744271,3059.51798513419,1275.7,241.3,1444.4,1.85714285714286
3750,3058.7,123.5,333.048453404664,1857.9775272427,2896.86025707772,1055.6,224.8,1565.3,1.77777777777778
4000,3120.3,125.8,28.119799633558,1760.24321746146,2940.03753088702,1349.7,216.4,1662.3,1.77083333333333
4250,3045.2,123.4,0,1167.95685811133,2086.94174862344,1584.8,222.4,1920.3,2.88235294117647
4500,3585.1,145.7,7.73210182541416,1732.81234471172,2564.68984985347,1423.0,203.1,2062.6,3.14814814814815
4750,3529.4,143.7,0.940694213930063,1662.77109254278,2767.99272448921,1722.8,193.8,2054.9,3.54385964912281
5000,3555.9,144.6,5.45021445246756,1628.52407839731,2932.62414151148,1947.1,195.7,2101.6,3.36666666666667
5250,3914.6,160.1,0,1432.27460733495,2495.6806857574,1867.9,189.8,2504.2,4.68253968253968
5500,4361.8,178.5,83.3979730695383,1818.36481579291,2697.09870629392,1724.1,176.1,2674.1,4.71212121212121
5750,4385.6,180.0,0,1753.00464348303,3031.76495034632,1950.0,171.5,2725.8,5.15942028985507
6000,4525.0,185.9,0,1743.85191138364,3307.74783349826,2186.5,165.9,2843.3,5.73611111111111
