dem_req_rate,req_rate_java-jetty.herokuapp.com,con_rate_java-jetty.herokuapp.com,min_rep_rate_java-jetty.herokuapp.com,avg_rep_rate_java-jetty.herokuapp.com,max_rep_rate_java-jetty.herokuapp.com,stddev_rep_rate_java-jetty.herokuapp.com,resp_time_java-jetty.herokuapp.com,net_io_java-jetty.herokuapp.com,errors_java-jetty.herokuapp.com
500,491.6,19.7,0,491.8,1160.1,269.9,205.0,150.3,0
750,675.0,27.0,0,681.8,1122.1,241.2,19.5,206.3,0
1000,860.8,34.4,0,868.8,1378.1,349.2,24.0,263.1,0
1250,1160.6,46.4,26,1171.9,1698.1,328.6,22.9,354.7,0
1500,1338.7,53.5,0,1340.9,2590.2,503.6,51.9,409.2,0
1750,1412.1,56.5,0,1418.5,3290.1,635.0,159.7,431.6,0
2000,1472.9,58.9,0,1466.98048,3219.09712,628.6,232.5,457.7,0
2250,1779.7,71.3,197.861631859405,1670.25083196034,4088.17597185733,728.5,230.6,607.0,0.37037037037037
2500,1847.1,74.0,10.458508164738,1610.34879466553,4150.19750247214,923.6,284.6,690.5,0.466666666666667
2750,1078.0,55.0,0,0,0,1428.3,109.6,889.9,29.1818181818182
3000,,,,,,,,,101
3250,1321.4,65.0,0,0,0,1677.9,89.9,1093.1,25.974358974359
3500,1435.0,70.0,0,0,0,1793.7,83.3,1187.5,25.3095238095238
3750,1545.3,74.9,0,0,0,1903.0,78.1,1279.2,24.6
4000,,,,,,,,,101
4250,1814.1,78.7,0,0,0,1955.5,9.3,1509.2,15.0196078431373
4500,,,,,,,,,101
4750,,,,,,,,,101
5000,,,,,,,,,101
5250,,,,,,,,,101
5500,,,,,,,,,101
5750,4043.4,168.6,0,996.791383618807,2255.90660512398,2624.8,178.9,2849.0,8.18840579710145
6000,4507.8,185.6,0,1446.98524554454,2945.12734151529,2347.8,165.9,3001.4,5.94444444444444
