dem_req_rate,req_rate_scala-finagle.herokuapp.com,con_rate_scala-finagle.herokuapp.com,min_rep_rate_scala-finagle.herokuapp.com,avg_rep_rate_scala-finagle.herokuapp.com,max_rep_rate_scala-finagle.herokuapp.com,stddev_rep_rate_scala-finagle.herokuapp.com,resp_time_scala-finagle.herokuapp.com,net_io_scala-finagle.herokuapp.com,errors_scala-finagle.herokuapp.com
500,401.7,16.1,0,395.7,1522.1,350.3,450.8,65.7,0
750,678.2,27.1,0,681.2,1086.1,238.1,11.7,110.7,0
1000,992.5,39.7,568,991.9,1480.1,148.4,8.9,160.6,0
1250,1242.5,49.7,944.1,1246.4,1592.1,117.4,7.9,203.0,0
1500,1494.0,59.8,824.1,1496.3,2294.2,285.0,12.4,244.5,0
1750,1652.4,66.1,0,1666,2670.2,419.4,11.4,270.3,0
2000,1989.7,79.6,1410.1,1994.9,2764.2,231.2,8.1,325.7,0
2250,2218.1,88.7,1054.1,2233.8,3508,503.8,19.8,363.1,0
2500,2444.0,97.8,794.1,2458.7,4164.4,666.4,48.4,400.7,0
2750,2659.5,106.4,238,2661.2,4146.3,570.9,14.6,435.6,0
3000,2710.2,108.4,4,2720,4040.3,870.9,16.0,443.8,0
3250,3232.2,129.3,1290.1,3239.7,3906.3,388.0,11.5,527.7,0
3500,2693.2,108.1,0,2353.59764687891,5854.88816175557,1619.6,166.1,683.9,0.69047619047619
3750,2557.5,103.4,18.738670694864,1597.03444108761,4035.37273413897,1804.8,231.7,1066.9,2.13333333333333
4000,2867.6,116.5,0,1554.22734419341,4062.48567096157,1953.7,213.7,1360.3,3.02083333333333
4250,2603.9,106.4,0,1065.36628424726,2602.78065305467,1954.9,219.8,1469.7,4.2156862745098
4500,3341.0,134.8,0,2561.05,6120.45984356773,1970.9,165.7,1073.8,2.07407407407407
4750,3740.4,151.6,131.244554540019,2560.77265738447,5515.68911762194,1745.5,158.1,1411.5,2.78947368421053
5000,3452.7,140.5,19.0284429408928,2058.46127901526,5048.30537610304,2201.5,175.4,1509.5,3.96666666666667
5250,3139.7,129.2,0,880.289487948258,2175.87841684233,2442.8,207.4,2039.3,5.65079365079365
5500,3987.4,164.0,0,1392.59524532119,2735.03979967153,2382.7,179.3,2405.4,5.68181818181818
5750,4721.6,189.2,63.1634211641994,4438.15921062566,6508.0616771301,1679.2,116.8,999.9,0.36231884057971
6000,4849.1,194.3,0,4350.88549815478,7041.82878827517,1944.5,115.0,1135.6,0.444444444444444
