dem_req_rate,req_rate_python-bottle.herokuapp.com,con_rate_python-bottle.herokuapp.com,min_rep_rate_python-bottle.herokuapp.com,avg_rep_rate_python-bottle.herokuapp.com,max_rep_rate_python-bottle.herokuapp.com,stddev_rep_rate_python-bottle.herokuapp.com,resp_time_python-bottle.herokuapp.com,net_io_python-bottle.herokuapp.com,errors_python-bottle.herokuapp.com
500,,,,,,,,,101
750,,,,,,,,,101
1000,,,,,,,,,101
1250,,,,,,,,,101
1500,,,,,,,,,101
1750,843.9,33.9,0,390.582033151289,1584.09873143624,861.1,633.6,487.0,1.0952380952381
2000,,,,,,,,,101
2250,,,,,,,,,101
2500,,,,,,,,,101
2750,,,,,,,,,101
3000,,,,,,,,,101
3250,,,,,,,,,101
3500,,,,,,,,,101
3750,,,,,,,,,101
4000,,,,,,,,,101
4250,,,,,,,,,101
4500,,,,,,,,,101
4750,,,,,,,,,101
5000,,,,,,,,,101
5250,2454.1,103.8,0,192.271916930753,549.012204166948,2524.3,217.1,1944.1,9.6031746031746
5500,,,,,,,,,101
5750,,,,,,,,,101
6000,,,,,,,,,101
