dem_req_rate,req_rate_ruby-sinatr.herokuapp.com,con_rate_ruby-sinatr.herokuapp.com,min_rep_rate_ruby-sinatr.herokuapp.com,avg_rep_rate_ruby-sinatr.herokuapp.com,max_rep_rate_ruby-sinatr.herokuapp.com,stddev_rep_rate_ruby-sinatr.herokuapp.com,resp_time_ruby-sinatr.herokuapp.com,net_io_ruby-sinatr.herokuapp.com,errors_ruby-sinatr.herokuapp.com
2000,1971.5,78.9,594,1984.6,3406.3,524.3,36.9,583.4,0.0833333333333333
3000,2710.9,108.4,16,2714.2,4536.4,793.3,27.2,802.2,0
4000,3962.3,158.5,1312.1,3976.6,5928.7,799.7,27.4,1172.4,0
5000,4848.3,193.9,1014.1,4902.6,7001.6,1221.9,39.4,1434.6,0
6000,5128.0,205.1,0,5142.9,6941,1940.2,32.8,1517.4,0
7000,4935.3,197.4,0,4915.74620411118,7265.81218113581,1978.2,223.6,1473.7,0.0476190476190476
8000,5831.4,233.6,0,5725.27526354887,8428.4829100136,2118.4,251.8,1789.8,0.302083333333333
9000,6025.0,244.1,0,5221.82432475057,8309.72632205446,2691.0,321.8,2228.9,2.72222222222222
10000,6949.1,285.4,0,5113.7526560737,8572.76560908439,3121.6,314.0,3042.7,5.30833333333333
11000,7283.2,319.7,20.3513410269814,4937.09965753884,6848.22625557923,2478.1,379.2,3403.0,17.2045454545455
12000,7765.0,331.1,0,4660.73664905256,7123.85710453849,3826.9,344.8,3976.7,12.4027777777778
13000,7712.4,371.9,12.8852692685653,4937.89288909959,7065.05756630069,2937.0,355.5,3719.6,32.2435897435897
14000,7662.6,398.8,0,5285.41404686723,7234.2227868868,2604.7,381.9,3435.7,42.1130952380952
15000,7697.0,437.4,42.8733263067494,5739.89623784987,7647.22334192138,2718.6,317.2,3176.4,52.0444444444444
16000,7718.3,457.5,0,5582.65987571729,7522.60401779299,2556.5,368.6,3278.0,56.0572916666667
17000,7884.0,474.9,0,5339.18454350247,7101.25655320502,2579.6,402.3,3530.1,57.6911764705882
18000,8662.6,517.3,1914.01366748523,5864.92094476574,7162.65301843048,1702.2,478.6,3876.1,55.2592592592593
19000,8286.8,558.1,0,5613.75147390748,7454.20006678498,2303.2,375.8,3643.9,66.4868421052632
20000,8374.1,568.9,0,5020.68315850038,6800.07077279427,2832.7,365.6,4015.9,67.1333333333333
21000,7535.6,550.2,0,5378.64662222494,7594.92971683689,3028.5,392.2,3114.6,71.8690476190476
22000,9161.2,571.2,0,5093.9970953909,7071.03309880577,3605.8,478.8,4665.8,59.9128787878788
23000,7852.5,613.2,0,5021.45549445596,6942.70452537636,2619.3,475.4,3537.0,74.8985507246377
24000,9333.2,665.5,0,5017.05740135568,6712.28461777202,3492.7,382.7,4756.6,71.0243055555556
