dem_req_rate,req_rate_js-node.herokuapp.com,con_rate_js-node.herokuapp.com,min_rep_rate_js-node.herokuapp.com,avg_rep_rate_js-node.herokuapp.com,max_rep_rate_js-node.herokuapp.com,stddev_rep_rate_js-node.herokuapp.com,resp_time_js-node.herokuapp.com,net_io_js-node.herokuapp.com,errors_js-node.herokuapp.com
2000,1984.9,79.4,268,1992.8,4586.5,802.6,30.3,426.4,0
3000,2974.5,119.0,1750.1,2987.4,4044.2,302.5,10.5,639.1,0
4000,3281.0,131.2,0,3286.9,7230.5,1532.3,35.2,704.9,0
5000,4946.0,197.8,1750.1,4947.5,7572.5,1270.4,50.1,1062.6,0.0166666666666667
6000,5888.5,235.5,3209.3,5901.4,8334.7,1110.9,49.0,1265.1,0
7000,6700.7,268.0,72,6756.4,8603,1281.0,28.8,1439.6,0.0119047619047619
8000,6816.8,272.7,54,6857.4,9192.1,1691.8,116.0,1464.5,0
9000,6929.5,280.2,0,6844.49309993406,9420.23640669025,2238.8,200.5,1542.4,2.13888888888889
10000,7380.1,306.6,0,6400.66141850425,8983.34945836213,2433.8,256.2,2187.5,7.61666666666667
11000,7733.6,353.0,0,6537.91963395448,8475.02771177848,2110.5,283.3,2376.6,24.0530303030303
12000,8001.1,374.8,111.437520391517,6730.15085273617,8673.13155865342,2212.1,283.2,2465.8,27.7430555555556
13000,7549.6,380.6,0,6446.98061333043,8480.40202752774,2593.9,305.3,2243.3,37.2435897435897
14000,8035.4,409.4,0,6066.08391372962,7913.36429247764,2492.8,355.6,2826.5,39.0238095238095
15000,9272.3,448.5,0,6286.59193340995,8282.16969923642,3071.7,302.1,3741.0,32.5666666666667
16000,7902.7,452.8,0,6066.27989035634,8176.68963092173,2388.4,385.2,2684.2,52.4635416666667
17000,9358.8,508.1,2.78703587368007,6374.50845028106,8231.78915650146,2984.7,334.8,3688.3,47.3823529411765
18000,8120.4,528.9,0,5856.10498451681,7586.29915157161,2723.4,295.4,2916.2,64.1527777777778
19000,8854.7,584.3,1130.92764078918,6170.39651734825,7908.48820621362,2162.7,350.3,3276.9,64.890350877193
20000,7735.2,576.3,0,5797.81877723231,7772.94247944638,2997.8,340.2,2547.7,74.1
21000,8036.8,591.6,0,6124.11679632173,8259.1734818632,2801.8,331.1,2591.1,72.6111111111111
22000,8243.4,643.7,0,5555.18553347893,7782.10586502697,2804.9,383.7,3058.6,76.9469696969697
23000,8170.6,663.6,0,5942.31291157694,7455.40328256171,2567.8,389.3,2747.8,77.963768115942
24000,8089.5,675.3,12.6833111551573,6008.95647183992,7865.55541287079,2361.6,447.7,2632.6,78.4861111111111
