dem_req_rate,req_rate_scala-finagle.herokuapp.com,con_rate_scala-finagle.herokuapp.com,min_rep_rate_scala-finagle.herokuapp.com,avg_rep_rate_scala-finagle.herokuapp.com,max_rep_rate_scala-finagle.herokuapp.com,stddev_rep_rate_scala-finagle.herokuapp.com,resp_time_scala-finagle.herokuapp.com,net_io_scala-finagle.herokuapp.com,errors_scala-finagle.herokuapp.com
3500,3478.9,139.2,0,3486.7,5976.8,1464.8,129.4,569.7,0.0238095238095238
5250,4876.2,195.0,0,4921.8,7022.6,1289.8,10.9,797.9,0
7000,6326.3,253.1,0,6359.9,9128.5,2080.9,30.5,1029.9,0
8750,5776.2,231.1,0,5832.83333193637,11080.4733525098,3505.5,154.8,940.1,0.00952380952380952
10500,5786.9,240.8,0,5752.69948491172,9617.44280797642,3312.1,531.9,966.0,7.1984126984127
12250,7126.5,347.0,0,6887.68083802288,11633.4805376225,4019.1,400.2,1261.6,33.7278911564626
14000,7101.4,352.4,27.4000385161648,4352.30929984834,7302.85753833562,4283.1,619.6,2921.0,37.2797619047619
15750,8137.5,373.2,0,6500.51333529585,16561.3938769502,5017.4,552.6,1434.0,23.3597883597884
17500,11034.4,442.1,0,7060.36227702805,13488.7322121375,6829.0,350.3,1866.7,0.3
19250,6662.2,419.8,33.0381380760837,4651.26708683751,8213.2093036751,3019.2,701.3,2258.2,57.7575757575758
21000,7625.7,492.3,0,6571.83353825228,10433.7027211991,3511.2,553.8,1734.2,61.2301587301587
22750,,,,,,,,,101
24500,8270.9,529.4,0,5181.57460975035,11396.3084694599,5485.7,702.0,1619.8,61.2993197278912
26250,,,,,,,,,101
28000,,,,,,,,,101
29750,,,,,,,,,101
31500,,,,,,,,,101
33250,,,,,,,,,101
35000,,,,,,,,,101
36750,11128.7,868.7,107.755565133757,5773.60915266168,9952.54589600206,4436.4,695.2,2345.6,76.2585034013605
38500,,,,,,,,,101
40250,,,,,,,,,101
42000,,,,,,,,,101
