dem_req_rate,req_rate_ruby-sinatr.herokuapp.com,con_rate_ruby-sinatr.herokuapp.com,min_rep_rate_ruby-sinatr.herokuapp.com,avg_rep_rate_ruby-sinatr.herokuapp.com,max_rep_rate_ruby-sinatr.herokuapp.com,stddev_rep_rate_ruby-sinatr.herokuapp.com,resp_time_ruby-sinatr.herokuapp.com,net_io_ruby-sinatr.herokuapp.com,errors_ruby-sinatr.herokuapp.com
3500,3227.1,129.1,0,3230.9,6627.1,1621.3,51.1,954.9,0
5250,5184.0,207.4,2056.2,5215,6778.5,998.6,42.2,1533.9,0
7000,6901.5,276.1,3790.1,6937.3,8325.2,758.8,21.0,2042.1,0
8750,6660.8,266.5,0,6724.2,9663.8,2733.6,110.3,1970.9,0.019047619047619
10500,8111.9,324.5,0,8167.2,10941.8,3091.0,143.8,2400.3,0.0476190476190476
12250,7014.0,326.1,0,6744.55141005548,10517.3186186937,3227.9,482.6,2155.1,28.3197278911565
14000,7236.8,389.8,122.064957849019,6855.10990663048,9208.34791544835,2447.1,449.9,2222.4,44.9702380952381
15750,7774.7,445.1,0,6227.47719360713,16636.160107943,4614.7,313.0,2371.9,52.8730158730159
17500,7154.4,376.4,0,6372.90941816896,23609.4313858661,4511.1,544.5,2124.0,42.7904761904762
19250,,,,,,,,,101
21000,9043.8,567.3,0,7469.11372250646,22897.6704419411,3995.1,528.4,2713.4,60.8095238095238
22750,6645.0,469.6,0,5445.00804306265,8544.9491475601,2627.1,921.1,2389.5,64.2454212454212
24500,7695.6,529.4,0,5987.16109512419,8840.73498656854,4296.4,587.5,2931.4,67.187074829932
26250,9307.6,648.8,110.046626586197,6517.62150619408,17707.6760484026,5056.5,552.9,2823.3,65.4349206349206
28000,7617.4,607.4,0,4610.23727420803,14041.4750327783,5411.3,640.6,2634.5,73.8184523809524
29750,,,,,,,,,101
31500,,,,,,,,,101
33250,9339.3,806.0,0,6612.44163910353,8258.3214163285,2760.8,639.7,3803.6,76.6741854636591
35000,,,,,,,,,101
36750,9180.9,892.3,0,6627.17282322848,8913.74167948036,3197.6,608.9,3570.0,82.0839002267574
38500,,,,,,,,,101
40250,,,,,,,,,101
42000,,,,,,,,,101
